*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=SkinnerDuino_05b
*Date=16:59:06
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
137;;cap-pth-5mm;24.525;-18.5464;-90;Bottom;C4
138;;;55.0673;-17.4869;0;Bottom;Copper Fill82
139;;;53.7526;-23.6195;-90;Bottom;TXT6
140;;;17.7166;-21.8303;0;Bottom;Copper Fill109
141;;;1.016;-19.811;0;Bottom;Copper Fill31
142;;;44.5771;-50.6085;0;Bottom;Copper Fill1
143;;;43.1674;-3.72008;0;Bottom;Copper Fill59
144;;;27.9023;-41.9703;0;Bottom;TXT7
145;;THT;62.7584;-14.3177;0;Bottom;I2C
146;;;1.8161;-20.6619;0;Bottom;Copper Fill97
147;;3 mm [THT];64.3873;-36.5538;90;Bottom;LED5
148;;;34.1123;-35.2034;0;Bottom;Copper Fill40
149;;;37.3254;-30.4409;0;Bottom;Copper Fill100
150;;;44.8273;-39.1142;0;Bottom;Via2
151;;;51.1565;-42.4872;0;Bottom;TXT7
152;;;19.9391;-46.1889;0;Bottom;Copper Fill72
153;;;7.3533;-20.6619;0;Bottom;Copper Fill101
154;;;55.3213;-35.8638;0;Bottom;Copper Fill39
155;;;33.2106;-36.1051;0;Bottom;Copper Fill105
156;;;1.016;-19.811;0;Bottom;Copper Fill99
157;;;44.6115;-12.955;0;Bottom;TXT7
158;;;29.5657;-46.3794;0;Bottom;Copper Fill56
159;;;13.3605;-11.4925;0;Bottom;Copper Fill84
160;;;56.477;-31.8379;0;Bottom;Copper Fill46
161;;THT;55.0007;-10.4522;-90;Bottom;GND
162;;;22.8854;-36.5115;0;Bottom;Copper Fill8
163;10k;THT;24.1953;-8.53988;90;Bottom;R8
164;330;THT;7.39055;-24.8546;90;Bottom;R7
165;;;5.0673;-14.7945;0;Bottom;Copper Fill25
166;;;1.8161;-18.9855;0;Bottom;Copper Fill98
167;;;39.2558;-18.9601;0;Bottom;Copper Fill107
168;;;24.1555;-19.5951;0;Bottom;Copper Fill19
169;;;52.2733;-5.16788;0;Bottom;Copper Fill90
170;;;38.3541;-19.8618;0;Bottom;Copper Fill108
171;;;50.2413;-10.5146;0;Bottom;Copper Fill68
172;;;34.4932;-26.0213;0;Bottom;Copper Fill23
173;;;34.3239;-26.9611;0;Bottom;Arduino
174;;;51.2941;-23.5497;-90;Bottom;TXT6
175;;;44.1961;-8.43178;0;Bottom;Copper Fill53
176;100µF;100 mil [THT, electrolytic];19.3938;-13.8341;180;Bottom;C5
177;;;54.8133;-5.16788;0;Bottom;Copper Fill91
178;;3 mm [THT];21.0128;-35.0612;-90;Bottom;LED2
179;;;66.8402;-13.5499;0;Bottom;Copper Fill43
180;;;17.2975;-46.1889;0;Bottom;Copper Fill71
181;;;14.3446;-34.3332;-90;Bottom;TXT2
182;;;17.2975;-46.1889;0;Bottom;Copper Fill4
183;;THT;55.0746;-18.806;-90;Bottom;GND
184;;THT;41.235;-38.807;-90;Bottom;OUT5
185;;;26.4542;-51.9801;0;Bottom;Copper Fill130
